aspect_vi,year,n_total,n_neg,neg_rate,avg_rating
Bản dịch & ấn bản,2001,2,0,0.0,5.0
Bản dịch & ấn bản,2002,17,4,0.2353,4.94
Bản dịch & ấn bản,2003,6,1,0.1667,4.5
Bản dịch & ấn bản,2004,2,0,0.0,5.0
Bản dịch & ấn bản,2005,19,1,0.0526,4.74
Bản dịch & ấn bản,2006,36,6,0.1667,4.53
Bản dịch & ấn bản,2007,34,5,0.1471,4.5
Bản dịch & ấn bản,2008,57,11,0.193,4.35
Bản dịch & ấn bản,2009,57,10,0.1754,4.26
Bản dịch & ấn bản,2010,50,6,0.12,4.28
Bản dịch & ấn bản,2011,54,15,0.2778,4.3
Bản dịch & ấn bản,2012,110,22,0.2,4.08
Bản dịch & ấn bản,2013,167,30,0.1796,4.32
Bản dịch & ấn bản,2014,167,24,0.1437,4.47
Bản dịch & ấn bản,2015,153,24,0.1569,4.03
Bản dịch & ấn bản,2016,119,20,0.1681,4.29
Bản dịch & ấn bản,2017,85,19,0.2235,4.25
Bản dịch & ấn bản,2018,144,39,0.2708,3.94
Bản dịch & ấn bản,2019,144,26,0.1806,4.12
Bản dịch & ấn bản,2020,119,26,0.2185,4.15
Bản dịch & ấn bản,2021,111,23,0.2072,4.25
Bản dịch & ấn bản,2022,149,24,0.1611,4.64
Bản dịch & ấn bản,2023,41,3,0.0732,4.83
Cốt truyện,2001,23,5,0.2174,3.09
Cốt truyện,2002,47,8,0.1702,4.53
Cốt truyện,2003,67,12,0.1791,4.12
Cốt truyện,2004,94,8,0.0851,4.69
Cốt truyện,2005,625,87,0.1392,4.58
Cốt truyện,2006,958,103,0.1075,4.69
Cốt truyện,2007,562,84,0.1495,4.5
Cốt truyện,2008,984,225,0.2287,4.16
Cốt truyện,2009,772,149,0.193,4.35
Cốt truyện,2010,781,170,0.2177,4.27
Cốt truyện,2011,758,198,0.2612,4.01
Cốt truyện,2012,1722,487,0.2828,4.07
Cốt truyện,2013,2406,636,0.2643,4.17
Cốt truyện,2014,2437,584,0.2396,4.2
Cốt truyện,2015,3097,860,0.2777,3.98
Cốt truyện,2016,2239,580,0.259,4.15
Cốt truyện,2017,2095,529,0.2525,4.12
Cốt truyện,2018,2346,623,0.2656,4.04
Cốt truyện,2019,1935,432,0.2233,4.2
Cốt truyện,2020,1216,223,0.1834,4.42
Cốt truyện,2021,735,149,0.2027,4.32
Cốt truyện,2022,1176,252,0.2143,4.33
Cốt truyện,2023,197,39,0.198,4.43
Giao hàng & tình trạng sách,2002,4,0,0.0,4.75
Giao hàng & tình trạng sách,2003,1,0,0.0,5.0
Giao hàng & tình trạng sách,2004,1,0,0.0,5.0
Giao hàng & tình trạng sách,2005,17,5,0.2941,4.94
Giao hàng & tình trạng sách,2006,27,4,0.1481,4.59
Giao hàng & tình trạng sách,2007,43,1,0.0233,4.79
Giao hàng & tình trạng sách,2008,72,10,0.1389,4.58
Giao hàng & tình trạng sách,2009,56,7,0.125,4.34
Giao hàng & tình trạng sách,2010,80,8,0.1,4.22
Giao hàng & tình trạng sách,2011,95,8,0.0842,4.21
Giao hàng & tình trạng sách,2012,160,16,0.1,4.24
Giao hàng & tình trạng sách,2013,264,35,0.1326,4.33
Giao hàng & tình trạng sách,2014,217,19,0.0876,4.37
Giao hàng & tình trạng sách,2015,190,27,0.1421,4.16
Giao hàng & tình trạng sách,2016,183,22,0.1202,4.4
Giao hàng & tình trạng sách,2017,158,28,0.1772,4.19
Giao hàng & tình trạng sách,2018,178,27,0.1517,4.34
Giao hàng & tình trạng sách,2019,191,30,0.1571,4.09
Giao hàng & tình trạng sách,2020,211,34,0.1611,4.36
Giao hàng & tình trạng sách,2021,165,27,0.1636,4.23
Giao hàng & tình trạng sách,2022,130,22,0.1692,4.26
Giao hàng & tình trạng sách,2023,26,2,0.0769,4.92
Giá trị so với giá tiền,2001,2,1,0.5,3.0
Giá trị so với giá tiền,2002,15,1,0.0667,4.93
Giá trị so với giá tiền,2003,6,0,0.0,4.67
Giá trị so với giá tiền,2004,3,0,0.0,5.0
Giá trị so với giá tiền,2005,39,3,0.0769,4.77
Giá trị so với giá tiền,2006,29,2,0.069,4.66
Giá trị so với giá tiền,2007,61,3,0.0492,4.8
Giá trị so với giá tiền,2008,98,15,0.1531,4.3
Giá trị so với giá tiền,2009,74,7,0.0946,4.28
Giá trị so với giá tiền,2010,101,16,0.1584,4.27
Giá trị so với giá tiền,2011,123,14,0.1138,4.12
Giá trị so với giá tiền,2012,170,24,0.1412,4.35
Giá trị so với giá tiền,2013,309,23,0.0744,4.54
Giá trị so với giá tiền,2014,265,31,0.117,4.35
Giá trị so với giá tiền,2015,243,20,0.0823,4.42
Giá trị so với giá tiền,2016,216,17,0.0787,4.5
Giá trị so với giá tiền,2017,198,14,0.0707,4.51
Giá trị so với giá tiền,2018,233,24,0.103,4.38
Giá trị so với giá tiền,2019,322,32,0.0994,4.37
Giá trị so với giá tiền,2020,376,36,0.0957,4.5
Giá trị so với giá tiền,2021,258,33,0.1279,4.47
Giá trị so với giá tiền,2022,215,21,0.0977,4.55
Giá trị so với giá tiền,2023,56,6,0.1071,4.54
Kết thúc,2001,5,2,0.4,1.8
Kết thúc,2002,5,2,0.4,3.6
Kết thúc,2003,15,3,0.2,4.2
Kết thúc,2004,25,5,0.2,4.68
Kết thúc,2005,205,42,0.2049,4.61
Kết thúc,2006,236,39,0.1653,4.64
Kết thúc,2007,153,33,0.2157,4.44
Kết thúc,2008,300,96,0.32,4.03
Kết thúc,2009,245,79,0.3224,4.27
Kết thúc,2010,236,60,0.2542,4.19
Kết thúc,2011,228,78,0.3421,4.03
Kết thúc,2012,757,292,0.3857,4.06
Kết thúc,2013,1027,364,0.3544,4.1
Kết thúc,2014,906,341,0.3764,4.06
Kết thúc,2015,1104,434,0.3931,3.92
Kết thúc,2016,806,282,0.3499,4.11
Kết thúc,2017,777,279,0.3591,4.07
Kết thúc,2018,710,270,0.3803,4.06
Kết thúc,2019,648,231,0.3565,4.01
Kết thúc,2020,454,147,0.3238,4.14
Kết thúc,2021,253,83,0.3281,3.96
Kết thúc,2022,378,136,0.3598,4.27
Kết thúc,2023,83,28,0.3373,4.36
Nhịp độ truyện,2001,2,2,1.0,5.0
Nhịp độ truyện,2002,20,3,0.15,4.75
Nhịp độ truyện,2003,11,5,0.4545,4.73
Nhịp độ truyện,2004,7,2,0.2857,5.0
Nhịp độ truyện,2005,50,5,0.1,4.64
Nhịp độ truyện,2006,67,3,0.0448,4.69
Nhịp độ truyện,2007,67,8,0.1194,4.66
Nhịp độ truyện,2008,105,12,0.1143,4.27
Nhịp độ truyện,2009,76,15,0.1974,4.22
Nhịp độ truyện,2010,127,18,0.1417,4.31
Nhịp độ truyện,2011,149,19,0.1275,4.21
Nhịp độ truyện,2012,263,37,0.1407,4.28
Nhịp độ truyện,2013,334,44,0.1317,4.44
Nhịp độ truyện,2014,336,37,0.1101,4.36
Nhịp độ truyện,2015,290,59,0.2034,4.17
Nhịp độ truyện,2016,272,54,0.1985,4.4
Nhịp độ truyện,2017,281,67,0.2384,4.23
Nhịp độ truyện,2018,284,59,0.2077,4.26
Nhịp độ truyện,2019,287,65,0.2265,4.34
Nhịp độ truyện,2020,264,35,0.1326,4.45
Nhịp độ truyện,2021,184,31,0.1685,4.47
Nhịp độ truyện,2022,185,22,0.1189,4.59
Nhịp độ truyện,2023,38,5,0.1316,4.55
Phiên bản Kindle/Ebook,2001,7,1,0.1429,4.14
Phiên bản Kindle/Ebook,2002,107,9,0.0841,4.73
Phiên bản Kindle/Ebook,2003,45,5,0.1111,4.51
Phiên bản Kindle/Ebook,2004,25,2,0.08,4.48
Phiên bản Kindle/Ebook,2005,167,11,0.0659,4.69
Phiên bản Kindle/Ebook,2006,319,11,0.0345,4.67
Phiên bản Kindle/Ebook,2007,265,16,0.0604,4.64
Phiên bản Kindle/Ebook,2008,313,27,0.0863,4.31
Phiên bản Kindle/Ebook,2009,321,28,0.0872,4.34
Phiên bản Kindle/Ebook,2010,621,72,0.1159,4.29
Phiên bản Kindle/Ebook,2011,725,69,0.0952,4.26
Phiên bản Kindle/Ebook,2012,923,73,0.0791,4.28
Phiên bản Kindle/Ebook,2013,1343,110,0.0819,4.43
Phiên bản Kindle/Ebook,2014,873,65,0.0745,4.48
Phiên bản Kindle/Ebook,2015,1020,74,0.0725,4.28
Phiên bản Kindle/Ebook,2016,913,80,0.0876,4.52
Phiên bản Kindle/Ebook,2017,948,112,0.1181,4.37
Phiên bản Kindle/Ebook,2018,1337,144,0.1077,4.38
Phiên bản Kindle/Ebook,2019,1252,101,0.0807,4.41
Phiên bản Kindle/Ebook,2020,1383,150,0.1085,4.44
Phiên bản Kindle/Ebook,2021,1052,120,0.1141,4.5
Phiên bản Kindle/Ebook,2022,971,79,0.0814,4.6
Phiên bản Kindle/Ebook,2023,187,13,0.0695,4.7
Phát triển nhân vật,2001,15,5,0.3333,2.73
Phát triển nhân vật,2002,27,4,0.1481,4.81
Phát triển nhân vật,2003,37,7,0.1892,4.32
Phát triển nhân vật,2004,72,7,0.0972,4.71
Phát triển nhân vật,2005,413,57,0.138,4.6
Phát triển nhân vật,2006,649,71,0.1094,4.69
Phát triển nhân vật,2007,408,50,0.1225,4.54
Phát triển nhân vật,2008,665,147,0.2211,4.27
Phát triển nhân vật,2009,500,95,0.19,4.37
Phát triển nhân vật,2010,458,79,0.1725,4.24
Phát triển nhân vật,2011,478,99,0.2071,4.19
Phát triển nhân vật,2012,1072,246,0.2295,4.2
Phát triển nhân vật,2013,1606,370,0.2304,4.21
Phát triển nhân vật,2014,1497,289,0.1931,4.25
Phát triển nhân vật,2015,1656,361,0.218,4.03
Phát triển nhân vật,2016,1096,271,0.2473,4.16
Phát triển nhân vật,2017,1132,289,0.2553,4.15
Phát triển nhân vật,2018,1022,248,0.2427,4.07
Phát triển nhân vật,2019,874,188,0.2151,4.18
Phát triển nhân vật,2020,576,94,0.1632,4.49
Phát triển nhân vật,2021,363,75,0.2066,4.4
Phát triển nhân vật,2022,764,160,0.2094,4.42
Phát triển nhân vật,2023,136,30,0.2206,4.5
Văn phong,2001,8,0,0.0,4.0
Văn phong,2002,103,17,0.165,4.77
